payer,code,avg_rate,max_rate,min_rate,range_rate,percentile_25,median_rate,percentile_75
Aetna,87502,224.86,600.67,18.40,582.27,99.3900,99.3900,475.3500
Blue Shield of California,87502,322.55,397.57,316.78,80.79,316.7800,316.7800,316.7800
Cigna Corporation,87502,431.99,431.99,431.99,0.00,431.9900,431.9900,431.9900
Kaiser Foundation Health Plan,87502,361.50,466.00,167.65,298.35,229.0000,466.0000,466.0000
UnitedHealthcare,87502,370.06,370.06,370.06,0.00,370.0600,370.0600,370.0600
Aetna,87624,85.26,220.01,18.40,201.61,39.6400,39.6400,174.9175
Blue Shield of California,87624,163.51,164.07,158.56,5.51,164.0700,164.0700,164.0700
Cigna Corporation,87624,178.11,178.11,178.11,0.00,178.1100,178.1100,178.1100
Kaiser Foundation Health Plan,87624,98.58,159.00,61.41,97.59,61.4100,61.4100,159.0000
UnitedHealthcare,87624,136.57,194.35,135.55,58.80,135.5500,135.5500,135.5500
Aetna,87635,51.31,51.31,51.31,0.00,51.3100,51.3100,51.3100
Blue Shield of California,87635,156.10,156.10,156.10,0.00,156.1000,156.1000,156.1000
Cigna Corporation,87635,65.00,65.00,65.00,0.00,65.0000,65.0000,65.0000
Health Net,87635,167.20,167.20,167.20,0.00,167.2000,167.2000,167.2000
Kaiser Foundation Health Plan,87635,96.72,108.00,89.79,18.21,89.7900,89.7900,108.0000
UnitedHealthcare,87635,198.20,198.20,198.20,0.00,198.2000,198.2000,198.2000
Aetna,87636,142.63,142.63,142.63,0.00,142.6300,142.6300,142.6300
Ambetter,87636,237.54,237.54,237.54,0.00,237.5400,237.5400,237.5400
Blue Shield of California,87636,242.82,473.53,217.19,256.34,217.1900,217.1900,217.1900
Cigna Corporation,87636,65.00,65.00,65.00,0.00,65.0000,65.0000,65.0000
Health Net,87636,211.59,225.72,202.50,23.22,202.5000,208.1400,219.1300
Kaiser Foundation Health Plan,87636,249.60,249.60,249.60,0.00,249.6000,249.6000,249.6000
UnitedHealthcare,87636,661.13,661.23,655.82,5.41,661.2300,661.2300,661.2300
Aetna,87651,86.17,220.01,18.40,201.61,40.9900,40.9900,175.2550
Ambetter,87651,61.70,61.70,61.70,0.00,61.7000,61.7000,61.7000
Blue Shield of California,87651,133.86,162.81,130.65,32.16,130.6500,130.6500,130.6500
Cigna Corporation,87651,178.11,178.11,178.11,0.00,178.1100,178.1100,178.1100
Kaiser Foundation Health Plan,87651,85.21,102.00,61.41,40.59,76.0000,76.0000,102.0000
UnitedHealthcare,87651,135.55,135.55,135.55,0.00,135.5500,135.5500,135.5500
Aetna,87804,35.46,103.77,10.85,92.92,10.8500,10.8500,82.4275
Blue Shield of California,87804,35.38,43.09,34.56,8.53,34.5600,34.5600,34.5600
Cigna Corporation,87804,61.14,61.14,61.14,0.00,61.1400,61.1400,61.1400
Kaiser Foundation Health Plan,87804,36.69,47.00,28.96,18.04,28.9600,28.9600,47.0000
UnitedHealthcare,87804,63.93,63.93,63.93,0.00,63.9300,63.9300,63.9300
Aetna,87811,39.51,41.38,18.40,22.98,41.3800,41.3800,41.3800
Blue Shield of California,87811,28.14,28.24,27.29,0.95,28.2400,28.2400,28.2400
Cigna Corporation,87811,65.00,65.00,65.00,0.00,65.0000,65.0000,65.0000
Kaiser Foundation Health Plan,87811,75.85,124.00,72.42,51.58,72.4200,72.4200,75.0000
UnitedHealthcare,87811,192.37,192.37,192.37,0.00,192.3700,192.3700,192.3700
Aetna,87880,35.42,103.64,10.85,92.79,10.8500,10.8500,82.3300
Blue Shield of California,87880,35.38,43.09,34.56,8.53,34.5600,34.5600,34.5600
Cigna Corporation,87880,61.14,61.14,61.14,0.00,61.1400,61.1400,61.1400
Kaiser Foundation Health Plan,87880,45.85,47.00,45.00,2.00,45.0000,45.0000,47.0000
UnitedHealthcare,87880,63.66,63.85,53.19,10.66,63.8500,63.8500,63.8500
Aetna,88112,124.65,455.52,18.40,437.12,41.1900,88.9900,188.2900
Blue Shield of California,88112,412.84,412.84,412.84,0.00,412.8400,412.8400,412.8400
Cigna Corporation,88112,166.83,250.26,103.29,146.97,103.2900,146.9600,250.2600
Kaiser Foundation Health Plan,88112,314.65,423.00,155.84,267.16,172.0000,423.0000,423.0000
UnitedHealthcare,88112,188.89,436.32,116.00,320.32,116.0000,164.6300,280.6300
Aetna,88175,65.52,166.85,18.40,148.45,30.9400,30.9400,132.8725
Blue Shield of California,88175,100.36,122.87,98.63,24.24,98.6300,98.6300,98.6300
Cigna Corporation,88175,134.25,134.25,134.25,0.00,134.2500,134.2500,134.2500
Kaiser Foundation Health Plan,88175,80.69,101.00,46.57,54.43,70.0000,70.0000,101.0000
UnitedHealthcare,88175,102.79,102.79,102.79,0.00,102.7900,102.7900,102.7900
Aetna,88304,49.87,161.00,9.19,151.81,9.1900,46.0600,55.2500
Ambetter,88304,81.09,83.62,78.56,5.06,78.5600,81.0900,83.6200
Blue Shield of California,88304,217.45,217.45,217.45,0.00,217.4500,217.4500,217.4500
Cigna Corporation,88304,101.02,151.54,43.12,108.42,43.1200,108.4200,151.5400
Kaiser Foundation Health Plan,88304,152.98,159.00,100.70,58.30,151.0000,159.0000,159.0000
UnitedHealthcare,88304,115.51,270.90,45.09,225.81,47.5200,124.0300,171.5500
Aetna,88305,81.53,250.00,18.40,231.60,31.0700,62.1700,93.2400
Ambetter,88305,118.53,137.15,66.27,70.88,129.7500,129.7500,129.7500
Blue Shield of California,88305,395.81,395.81,395.81,0.00,395.8100,395.8100,395.8100
Cigna Corporation,88305,167.36,251.05,109.75,141.30,109.7500,141.3000,251.0500
Kaiser Foundation Health Plan,88305,242.26,264.00,164.00,100.00,224.0000,264.0000,264.0000
UnitedHealthcare,88305,196.22,457.12,133.03,324.09,133.0300,158.4200,291.4500
Aetna,88307,234.64,1117.00,18.40,1098.60,67.7600,131.1800,198.9300
Blue Shield of California,88307,554.64,554.64,554.64,0.00,554.6400,554.6400,554.6400
Cigna Corporation,88307,656.88,985.32,312.57,672.75,312.5700,672.7500,985.3200
Kaiser Foundation Health Plan,88307,761.70,994.00,575.28,418.72,575.2800,575.2800,994.0000
UnitedHealthcare,88307,769.92,1158.07,332.19,825.88,348.6200,809.4500,1158.0700
Aetna,90460,27.50,73.28,10.00,63.28,10.0000,10.0000,73.2800
Ambetter,90460,42.07,43.55,40.59,2.96,40.5900,42.0700,43.5500
Blue Shield of California,90460,73.13,84.03,71.70,12.33,71.7000,71.7000,75.8500
Cigna Corporation,90460,93.97,93.97,93.97,0.00,93.9700,93.9700,93.9700
Kaiser Foundation Health Plan,90460,67.85,70.00,65.00,5.00,65.0000,70.0000,70.0000
UnitedHealthcare,90460,59.07,99.17,58.37,40.80,58.3700,58.3700,58.3700
Aetna,90471,27.50,73.28,10.00,63.28,10.0000,10.0000,73.2800
Ambetter,90471,36.79,36.79,36.79,0.00,36.7900,36.7900,36.7900
Blue Shield of California,90471,69.67,80.04,68.30,11.74,68.3000,68.3000,72.2800
Cigna Corporation,90471,93.97,93.97,93.97,0.00,93.9700,93.9700,93.9700
Health Net,90471,114.95,114.95,114.95,0.00,114.9500,114.9500,114.9500
Kaiser Foundation Health Plan,90471,67.61,76.00,64.00,12.00,64.0000,64.0000,72.0000
UnitedHealthcare,90471,59.07,99.17,58.37,40.80,58.3700,58.3700,58.3700
Aetna,90662,96.10,155.50,73.40,82.10,73.4000,73.4000,155.5000
Blue Shield of California,90662,252.16,252.16,252.16,0.00,252.1600,252.1600,252.1600
Cigna Corporation,90662,72.25,72.25,72.25,0.00,72.2500,72.2500,72.2500
Health Net,90662,67.86,75.56,65.67,9.89,65.6700,65.6700,65.6700
Kaiser Foundation Health Plan,90662,192.76,241.00,128.45,112.55,128.4500,241.0000,241.0000
UnitedHealthcare,90662,124.00,124.00,124.00,0.00,124.0000,124.0000,124.0000
Aetna,90686,29.97,49.93,22.35,27.58,22.3500,22.3500,49.9300
Ambetter,90686,37.22,37.22,37.22,0.00,37.2200,37.2200,37.2200
Blue Shield of California,90686,76.78,76.78,76.78,0.00,76.7800,76.7800,76.7800
Cigna Corporation,90686,22.10,22.10,22.10,0.00,22.1000,22.1000,22.1000
Health Net,90686,21.45,31.29,19.41,11.88,20.0000,20.2400,22.5200
Kaiser Foundation Health Plan,90686,64.19,83.00,39.11,43.89,39.1100,83.0000,83.0000
UnitedHealthcare,90686,38.44,38.44,38.44,0.00,38.4400,38.4400,38.4400
Aetna,90694,98.98,155.55,77.36,78.19,77.3600,77.3600,155.5500
Blue Shield of California,90694,232.20,232.20,232.20,0.00,232.2000,232.2000,232.2000
Cigna Corporation,90694,76.14,76.14,76.14,0.00,76.1400,76.1400,76.1400
Kaiser Foundation Health Plan,90694,138.59,141.00,135.38,5.62,135.3800,141.0000,141.0000
UnitedHealthcare,90694,130.70,130.70,130.70,0.00,130.7000,130.7000,130.7000
Aetna,90785,23.27,77.65,3.20,74.45,3.2000,11.9700,15.9600
Blue Shield of California,90785,16.35,16.35,16.35,0.00,16.3500,16.3500,16.3500
Cigna Corporation,90785,49.03,49.03,49.03,0.00,49.0300,49.0300,49.0300
Kaiser Foundation Health Plan,90785,26.17,29.26,23.52,5.74,23.9275,26.0500,26.9500
Optum,90785,15.68,15.68,15.68,0.00,15.6800,15.6800,15.6800
UnitedHealthcare,90785,61.84,61.84,61.84,0.00,61.8400,61.8400,61.8400
Aetna,90791,247.95,727.21,123.75,603.46,123.7500,124.0000,165.0000
Blue Shield of California,90791,584.02,584.02,584.02,0.00,584.0200,584.0200,584.0200
Cigna Corporation,90791,462.46,462.46,462.46,0.00,462.4600,462.4600,462.4600
Kaiser Foundation Health Plan,90791,352.82,437.00,266.77,170.23,284.7400,317.4000,437.0000
Optum,90791,306.59,463.87,181.71,282.16,196.5200,235.1200,463.8700
UnitedHealthcare,90791,579.19,579.19,579.19,0.00,579.1900,579.1900,579.1900
Aetna,90792,264.20,806.36,124.00,682.36,124.0000,124.3200,165.7600
Blue Shield of California,90792,584.02,584.02,584.02,0.00,584.0200,584.0200,584.0200
Cigna Corporation,90792,518.27,518.27,518.27,0.00,518.2700,518.2700,518.2700
Kaiser Foundation Health Plan,90792,436.81,501.00,354.00,147.00,374.7075,388.8300,501.0000
Optum,90792,381.72,483.06,204.38,278.68,204.3800,483.0600,483.0600
UnitedHealthcare,90792,639.93,642.23,510.55,131.68,642.2300,642.2300,642.2300
Aetna,90832,115.02,354.68,45.00,309.68,45.0000,56.2500,75.0000
Blue Shield of California,90832,250.10,250.10,250.10,0.00,250.1000,250.1000,250.1000
Cigna Corporation,90832,224.87,224.87,224.87,0.00,224.8700,224.8700,224.8700
Kaiser Foundation Health Plan,90832,159.16,192.00,123.31,68.69,143.8300,148.0000,192.0000
Optum,90832,154.21,258.65,81.56,177.09,83.9800,96.2000,258.6500
UnitedHealthcare,90832,282.49,282.49,282.49,0.00,282.4900,282.4900,282.4900
Aetna,90833,149.90,364.09,64.00,300.09,64.0000,85.0000,330.1400
Blue Shield of California,90833,240.48,240.48,240.48,0.00,240.4800,240.4800,240.4800
Cigna Corporation,90833,233.02,233.02,233.02,0.00,233.0200,233.0200,233.0200
Kaiser Foundation Health Plan,90833,161.50,190.00,123.67,66.33,131.8525,143.4100,190.0000
Optum,90833,90.79,99.42,75.71,23.71,75.7100,99.4200,99.4200
UnitedHealthcare,90833,289.98,289.98,289.98,0.00,289.9800,289.9800,289.9800
Aetna,90834,159.48,471.61,66.00,405.61,66.0000,82.5000,110.0000
Ambetter,90834,161.80,161.80,161.80,0.00,161.8000,161.8000,161.8000
Blue Shield of California,90834,423.24,423.24,423.24,0.00,423.2400,423.2400,423.2400
Cigna Corporation,90834,298.75,298.75,298.75,0.00,298.7500,298.7500,298.7500
Kaiser Foundation Health Plan,90834,207.31,225.00,193.00,32.00,193.0000,205.0000,225.0000
Optum,90834,227.00,320.65,149.62,171.03,155.8000,192.3900,320.6500
UnitedHealthcare,90834,375.62,375.62,375.62,0.00,375.6200,375.6200,375.6200
Aetna,90836,197.48,461.09,90.00,371.09,90.0000,120.0000,417.6800
Cigna Corporation,90836,294.87,294.87,294.87,0.00,294.8700,294.8700,294.8700
Kaiser Foundation Health Plan,90836,166.54,181.63,156.96,24.67,157.7200,163.5700,178.0075
Optum,90836,161.50,161.50,161.50,0.00,161.5000,161.5000,161.5000
UnitedHealthcare,90836,367.24,367.24,367.24,0.00,367.2400,367.2400,367.2400
Aetna,90837,223.65,706.45,75.90,630.55,75.9000,108.8600,145.1500
Cigna Corporation,90837,447.84,447.84,447.84,0.00,447.8400,447.8400,447.8400
Kaiser Foundation Health Plan,90837,273.41,303.94,240.85,63.09,257.0800,274.9300,297.9200
Optum,90837,392.17,534.41,245.84,288.57,320.6500,324.5400,534.4100
UnitedHealthcare,90837,562.66,562.66,562.66,0.00,562.6600,562.6600,562.6600
Aetna,90847,189.19,532.87,78.00,454.87,78.0000,97.5000,130.0000
Blue Shield of California,90847,143.06,143.06,143.06,0.00,143.0600,143.0600,143.0600
Cigna Corporation,90847,375.29,375.29,375.29,0.00,375.2900,375.2900,375.2900
Kaiser Foundation Health Plan,90847,203.66,230.00,183.84,46.16,184.1800,185.2000,230.0000
Optum,90847,231.30,320.65,156.90,163.75,171.0300,194.5400,320.6500
UnitedHealthcare,90847,424.41,424.41,424.41,0.00,424.4100,424.4100,424.4100
Aetna,90853,54.09,140.80,30.00,110.80,30.0000,30.7500,41.0000
Blue Shield of California,90853,57.08,57.08,57.08,0.00,57.0800,57.0800,57.0800
Cigna Corporation,90853,90.55,90.55,90.55,0.00,90.5500,90.5500,90.5500
Kaiser Foundation Health Plan,90853,93.08,101.00,65.00,36.00,92.0000,92.0000,101.0000
Optum,90853,106.91,138.98,68.40,70.58,83.9800,102.6000,138.9800
UnitedHealthcare,90853,112.49,132.83,112.14,20.69,112.1400,112.1400,112.1400
Aetna,90868,201.25,230.00,172.50,57.50,172.5000,201.2500,230.0000
Kaiser Foundation Health Plan,90868,607.56,807.00,378.00,429.00,378.0000,807.0000,807.0000
Optum,90868,898.49,898.49,898.49,0.00,898.4900,898.4900,898.4900
UnitedHealthcare,90868,463.15,463.15,463.15,0.00,463.1500,463.1500,463.1500
Aetna,90935,159.80,372.97,78.30,294.67,78.3000,78.3000,372.9700
Blue Shield of California,90935,263.94,300.53,192.05,108.48,270.0200,270.0200,270.0200
Cigna Corporation,90935,256.51,256.51,256.51,0.00,256.5100,256.5100,256.5100
Kaiser Foundation Health Plan,90935,169.01,217.00,139.04,77.96,139.0400,182.0000,182.0000
UnitedHealthcare,90935,297.05,297.05,297.05,0.00,297.0500,297.0500,297.0500
Aetna,90960,619.08,1454.90,299.51,1155.39,299.5100,299.5100,1454.9000
Blue Shield of California,90960,981.77,1076.76,980.36,96.40,980.3600,980.3600,980.3600
Cigna Corporation,90960,1010.93,1010.93,1010.93,0.00,1010.9300,1010.9300,1010.9300
Kaiser Foundation Health Plan,90960,783.46,818.00,709.59,108.41,767.0000,767.0000,818.0000
UnitedHealthcare,90960,1158.76,1158.76,1158.76,0.00,1158.7600,1158.7600,1158.7600
Aetna,90961,516.41,1223.07,246.22,976.85,246.2200,246.2200,1223.0700
Blue Shield of California,90961,791.22,865.93,790.11,75.82,790.1100,790.1100,790.1100
Cigna Corporation,90961,849.91,849.91,849.91,0.00,849.9100,849.9100,849.9100
Kaiser Foundation Health Plan,90961,748.62,927.00,591.29,335.71,591.2900,850.0000,850.0000
UnitedHealthcare,90961,974.12,974.12,974.12,0.00,974.1200,974.1200,974.1200
Aetna,90966,514.79,1221.18,244.71,976.47,244.7100,244.7100,1221.1800
Blue Shield of California,90966,782.02,854.76,780.94,73.82,780.9400,780.9400,780.9400
Cigna Corporation,90966,847.83,847.83,847.83,0.00,847.8300,847.8300,847.8300
Kaiser Foundation Health Plan,90966,733.12,847.00,591.29,255.71,591.2900,803.0000,847.0000
UnitedHealthcare,90966,972.61,972.61,972.61,0.00,972.6100,972.6100,972.6100
Aetna,92004,268.12,779.44,101.33,678.11,101.3300,149.2500,503.9600
Ambetter,92004,165.19,165.19,165.19,0.00,165.1900,165.1900,165.1900
Blue Shield of California,92004,479.55,479.55,479.55,0.00,479.5500,479.5500,479.5500
Cigna Corporation,92004,541.89,541.89,541.89,0.00,541.8900,541.8900,541.8900
Kaiser Foundation Health Plan,92004,521.45,555.00,220.00,335.00,502.0000,555.0000,555.0000
UnitedHealthcare,92004,620.24,620.79,589.66,31.13,620.7900,620.7900,620.7900
Aetna,92012,150.62,459.97,52.91,407.06,52.9100,85.3600,267.5300
Blue Shield of California,92012,290.02,290.02,290.02,0.00,290.0200,290.0200,290.0200
Cigna Corporation,92012,311.79,311.79,311.79,0.00,311.7900,311.7900,311.7900
Kaiser Foundation Health Plan,92012,260.79,327.00,144.00,183.00,200.1500,327.0000,327.0000
UnitedHealthcare,92012,365.84,366.35,337.23,29.12,366.3500,366.3500,366.3500
Aetna,92014,220.45,654.31,80.69,573.62,80.6900,123.7000,405.2200
Ambetter,92014,173.12,228.94,154.52,74.42,154.5200,154.5200,173.1250
Blue Shield of California,92014,397.35,397.35,397.35,0.00,397.3500,397.3500,397.3500
Cigna Corporation,92014,450.80,450.80,450.80,0.00,450.8000,450.8000,450.8000
Kaiser Foundation Health Plan,92014,433.43,467.00,188.00,279.00,408.0000,467.0000,467.0000
UnitedHealthcare,92014,521.13,521.13,521.13,0.00,521.1300,521.1300,521.1300
Aetna,92015,45.49,101.95,20.12,81.83,20.1200,28.4200,100.0600
Ambetter,92015,32.97,33.61,32.34,1.27,32.6575,32.9750,33.2925
Blue Shield of California,92015,417.16,417.16,417.16,0.00,417.1600,417.1600,417.1600
Cigna Corporation,92015,70.70,70.70,70.70,0.00,70.7000,70.7000,70.7000
Kaiser Foundation Health Plan,92015,64.26,68.00,36.77,31.23,62.0000,68.0000,68.0000
UnitedHealthcare,92015,81.74,112.27,81.20,31.07,81.2000,81.2000,81.2000
Aetna,92083,105.12,330.19,28.91,301.28,62.8200,91.7300,142.3500
Ambetter,92083,85.14,114.51,75.36,39.15,75.3600,75.3600,85.1475
Blue Shield of California,92083,311.09,311.09,311.09,0.00,311.0900,311.0900,311.0900
Cigna Corporation,92083,158.24,237.37,101.04,136.33,101.0400,136.3300,237.3700
Kaiser Foundation Health Plan,92083,263.88,313.00,145.48,167.52,241.0000,241.0000,313.0000
UnitedHealthcare,92083,176.47,362.42,113.37,249.05,113.3700,149.6100,262.9800
Aetna,92133,58.58,193.22,16.79,176.43,30.8000,47.5900,78.3800
Ambetter,92133,45.66,66.35,38.77,27.58,38.7700,38.7700,45.6650
Cigna Corporation,92133,91.35,137.03,55.25,81.78,55.2500,81.7800,137.0300
Kaiser Foundation Health Plan,92133,153.37,187.00,80.78,106.22,137.0000,137.0000,187.0000
UnitedHealthcare,92133,102.98,188.01,62.42,125.59,62.4200,91.4700,153.8900
Aetna,92134,61.98,211.70,16.79,194.91,30.8000,47.5900,80.2700
Ambetter,92134,58.42,76.68,43.68,33.00,45.0800,45.0800,76.6800
Cigna Corporation,92134,99.98,149.98,56.58,93.40,56.5800,93.4000,149.9800
Kaiser Foundation Health Plan,92134,166.17,197.00,89.69,107.31,152.0000,152.0000,197.0000
UnitedHealthcare,92134,112.63,188.01,63.93,124.08,63.9300,104.6800,168.6100
Aetna,92136,103.78,326.11,31.46,294.65,59.0400,90.5100,160.9200
Ambetter,92136,53.38,53.38,53.38,0.00,53.3800,53.3800,53.3800
Blue Shield of California,92136,427.50,427.50,427.50,0.00,427.5000,427.5000,427.5000
Cigna Corporation,92136,221.86,332.80,114.06,218.74,114.0600,218.7400,332.8000
Kaiser Foundation Health Plan,92136,311.19,361.00,119.00,242.00,294.0000,294.0000,361.0000
UnitedHealthcare,92136,173.15,259.73,128.17,131.56,128.1700,131.5600,259.7300
Aetna,92250,81.94,234.74,24.51,210.23,55.6500,80.1600,111.0700
Ambetter,92250,36.97,36.97,36.97,0.00,36.9700,36.9700,36.9700
Blue Shield of California,92250,428.33,428.33,428.33,0.00,428.3300,428.3300,428.3300
Cigna Corporation,92250,162.24,243.37,79.12,164.25,79.1200,164.2400,243.3700
Kaiser Foundation Health Plan,92250,145.33,190.00,84.00,106.00,86.0000,190.0000,190.0000
UnitedHealthcare,92250,124.64,186.96,88.46,98.50,88.4600,98.5000,186.9600
Aetna,92504,43.49,152.44,10.36,142.08,10.3600,33.0000,48.6500
Ambetter,92504,35.16,53.79,16.54,37.25,16.5400,35.1650,53.7900
Blue Shield of California,92504,140.82,140.82,140.82,0.00,140.8200,140.8200,140.8200
Cigna Corporation,92504,109.86,109.86,109.86,0.00,109.8600,109.8600,109.8600
Kaiser Foundation Health Plan,92504,117.04,138.00,70.00,68.00,107.0000,107.0000,138.0000
UnitedHealthcare,92504,121.56,130.38,121.41,8.97,121.4100,121.4100,121.4100
Aetna,92507,163.60,409.97,69.40,340.57,69.4000,69.4000,409.9700
Blue Shield of California,92507,312.35,312.35,312.35,0.00,312.3500,312.3500,312.3500
Cigna Corporation,92507,284.71,284.71,284.71,0.00,284.7100,284.7100,284.7100
Kaiser Foundation Health Plan,92507,151.83,161.61,144.50,17.11,144.5000,144.5000,161.6100
UnitedHealthcare,92507,326.52,326.52,326.52,0.00,326.5200,326.5200,326.5200
Aetna,92551,26.12,61.40,12.64,48.76,12.6400,12.6400,61.4000
Ambetter,92551,24.95,24.95,24.95,0.00,24.9500,24.9500,24.9500
Blue Shield of California,92551,40.92,40.92,40.92,0.00,40.9200,40.9200,40.9200
Cigna Corporation,92551,44.61,44.61,44.61,0.00,44.6100,44.6100,44.6100
Kaiser Foundation Health Plan,92551,50.47,58.00,45.00,13.00,45.0000,45.0000,58.0000
UnitedHealthcare,92551,48.90,48.90,48.90,0.00,48.9000,48.9000,48.9000
Aetna,92552,66.54,167.08,28.11,138.97,28.1100,28.1100,167.0800
Blue Shield of California,92552,73.18,127.85,67.37,60.48,67.3700,67.3700,67.3700
Cigna Corporation,92552,117.72,117.72,117.72,0.00,117.7200,117.7200,117.7200
Kaiser Foundation Health Plan,92552,88.84,105.00,77.72,27.28,77.7200,77.7200,105.0000
UnitedHealthcare,92552,133.07,133.07,133.07,0.00,133.0700,133.0700,133.0700
Aetna,92557,79.91,196.43,38.51,157.92,38.5100,43.0300,168.1500
Ambetter,92557,66.05,66.05,66.05,0.00,66.0500,66.0500,66.0500
Blue Shield of California,92557,180.21,347.26,163.11,184.15,163.1100,163.1100,163.1100
Cigna Corporation,92557,136.43,136.43,136.43,0.00,136.4300,136.4300,136.4300
Kaiser Foundation Health Plan,92557,121.95,156.00,97.00,59.00,97.0000,97.0000,156.0000
UnitedHealthcare,92557,156.67,170.02,156.44,13.58,156.4400,156.4400,156.4400
Aetna,92567,29.89,82.45,13.34,69.11,13.3400,16.3600,56.0700
Ambetter,92567,29.71,29.71,29.71,0.00,29.7100,29.7100,29.7100
Blue Shield of California,92567,152.70,152.70,152.70,0.00,152.7000,152.7000,152.7000
Cigna Corporation,92567,52.56,52.56,52.56,0.00,52.5600,52.5600,52.5600
Kaiser Foundation Health Plan,92567,51.95,60.00,46.00,14.00,46.0000,46.0000,60.0000
UnitedHealthcare,92567,65.65,65.67,64.62,1.05,65.6700,65.6700,65.6700
Aetna,93000,39.49,87.49,21.14,66.35,21.1400,21.1400,87.4900
Ambetter,93000,25.75,25.75,25.75,0.00,25.7500,25.7500,25.7500
Blue Shield of California,93000,103.09,146.13,98.63,47.50,98.6300,98.6300,98.6300
Cigna Corporation,93000,61.49,61.49,61.49,0.00,61.4900,61.4900,61.4900
Kaiser Foundation Health Plan,93000,69.28,79.00,62.00,17.00,62.0000,62.0000,79.0000
UnitedHealthcare,93000,69.92,83.50,69.68,13.82,69.6800,69.6800,69.6800
Aetna,93005,17.11,44.43,11.89,32.54,11.8900,11.8900,11.8900
Ambetter,93005,11.69,11.69,11.69,0.00,11.6900,11.6900,11.6900
Blue Shield of California,93005,63.58,128.12,56.72,71.40,56.7200,56.7200,56.7200
Cigna Corporation,93005,31.32,31.32,31.32,0.00,31.3200,31.3200,31.3200
Kaiser Foundation Health Plan,93005,41.95,48.00,29.00,19.00,36.0000,48.0000,48.0000
UnitedHealthcare,93005,35.58,46.96,35.38,11.58,35.3800,35.3800,35.3800
Aetna,93010,18.60,43.07,9.25,33.82,9.2500,9.2500,43.0700
Ambetter,93010,14.06,14.06,14.06,0.00,14.0600,14.0600,14.0600
Blue Shield of California,93010,31.82,33.29,18.01,15.28,33.2900,33.2900,33.2900
Cigna Corporation,93010,30.17,30.17,30.17,0.00,30.1700,30.1700,30.1700
Kaiser Foundation Health Plan,93010,29.44,34.00,25.00,9.00,25.0000,26.0000,34.0000
UnitedHealthcare,93010,34.33,36.54,34.30,2.24,34.3000,34.3000,34.3000
Aetna,93015,174.43,367.97,100.43,267.54,100.4300,100.4300,367.9700
Ambetter,93015,127.89,127.89,127.89,0.00,127.8900,127.8900,127.8900
Blue Shield of California,93015,412.98,564.71,396.51,168.20,396.5100,396.5100,396.5100
Cigna Corporation,93015,279.71,279.71,279.71,0.00,279.7100,279.7100,279.7100
Kaiser Foundation Health Plan,93015,320.71,345.00,267.00,78.00,309.0000,309.0000,345.0000
UnitedHealthcare,93015,294.87,396.77,293.07,103.70,293.0700,293.0700,293.0700
Aetna,93016,49.13,113.59,24.49,89.10,24.4900,24.4900,113.5900
Ambetter,93016,36.74,36.74,36.74,0.00,36.7400,36.7400,36.7400
Blue Shield of California,93016,85.29,89.05,49.97,39.08,89.0500,89.0500,89.0500
Cigna Corporation,93016,79.54,79.54,79.54,0.00,79.5400,79.5400,79.5400
Kaiser Foundation Health Plan,93016,124.80,128.00,77.00,51.00,126.0000,128.0000,128.0000
UnitedHealthcare,93016,90.57,96.77,90.47,6.30,90.4700,90.4700,90.4700
Aetna,93042,15.50,35.70,7.79,27.91,7.7900,7.7900,35.7000
Blue Shield of California,93042,28.70,30.44,15.21,15.23,30.4400,30.4400,30.4400
Cigna Corporation,93042,24.99,24.99,24.99,0.00,24.9900,24.9900,24.9900
Kaiser Foundation Health Plan,93042,37.99,63.00,12.99,50.01,12.9900,37.9950,63.0000
UnitedHealthcare,93042,28.43,28.43,28.43,0.00,28.4300,28.4300,28.4300
Aetna,93224,210.69,462.25,114.51,347.74,114.5100,114.5100,462.2500
Blue Shield of California,93224,464.44,1040.64,420.12,620.52,420.1200,420.1200,420.1200
Cigna Corporation,93224,337.10,337.10,337.10,0.00,337.1000,337.1000,337.1000
Kaiser Foundation Health Plan,93224,298.11,439.00,168.39,270.61,215.0000,215.0000,439.0000
UnitedHealthcare,93224,369.62,452.40,368.16,84.24,368.1600,368.1600,368.1600
Aetna,93228,56.83,134.93,26.98,107.95,26.9800,26.9800,134.9300
Blue Shield of California,93228,118.62,118.62,118.62,0.00,118.6200,118.6200,118.6200
Cigna Corporation,93228,93.10,93.10,93.10,0.00,93.1000,93.1000,93.1000
Kaiser Foundation Health Plan,93228,90.37,141.00,49.89,91.11,60.0000,60.0000,141.0000
UnitedHealthcare,93228,107.44,107.46,106.62,0.84,107.4600,107.4600,107.4600
Aetna,93280,101.00,373.50,23.58,349.92,43.0400,66.6200,174.6000
Cigna Corporation,93280,141.19,211.79,73.86,137.93,73.8600,137.9300,211.7900
Kaiser Foundation Health Plan,93280,265.93,304.00,176.72,127.28,248.0000,248.0000,304.0000
UnitedHealthcare,93280,197.91,297.47,93.15,204.32,139.0600,158.4100,297.4700
Aetna,93294,70.20,158.84,36.32,122.52,36.3200,36.3200,158.8400
Blue Shield of California,93294,108.56,108.56,108.56,0.00,108.5600,108.5600,108.5600
Cigna Corporation,93294,120.89,120.89,120.89,0.00,120.8900,120.8900,120.8900
Kaiser Foundation Health Plan,93294,123.09,141.00,111.00,30.00,111.0000,111.0000,141.0000
